"GEO_ID","NAME","B25001_001M","B25001_001MA","B25001_001E","B25001_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","85","null","738","null",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","61","null","1422","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","92","null","1320","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","232","null","2051","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","28","null","1528","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","46","null","2387","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","56","null","2492","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","67","null","2648","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","98","null","2060","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","29","null","1465","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","74","null","2735","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","53","null","1928","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","45","null","1600","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","165","null","1843","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","65","null","1331","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","100","null","1365","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","17","null","646","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","28","null","1428","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","64","null","1534","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","23","null","1174","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","31","null","1589","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","35","null","1502","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","96","null","1311","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","27","null","1212","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","37","null","1608","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","32","null","1299","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","57","null","1734","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","89","null","1758","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","76","null","924","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","34","null","1576","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","89","null","1417","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","79","null","1766","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","50","null","1830","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","40","null","1303","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","73","null","2336","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","37","null","1478","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","58","null","1769","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","52","null","1878","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","44","null","2190","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","37","null","1191","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","50","null","1581","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","15","null","1085","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","44","null","957","null",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","28","null","968","null",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","72","null","2609","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","81","null","2610","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","33","null","3657","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","21","null","1877","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","33","null","1754","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","16","null","1602","null",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","13","null","1049","null",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","30","null","2313","null",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","44","null","2869","null",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","96","null","1777","null",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","26","null","1813","null",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","36","null","2620","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","72","null","1884","null",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","62","null","1996","null",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","65","null","1176","null",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","24","null","1508","null",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","22","null","1918","null",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","17","null","1290","null",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","80","null","2652","null",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","85","null","2123","null",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","25","null","2645","null",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","45","null","1908","null",
